Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca
acuarelas-pastel-shades-paint-pan-set-derwent-x-12;Acuarelas Pastel Shades Paint Pan Set Derwent X 12;Artística > Pintura > Acuarelas, Mundo Pastel;;;;;;;8838,08;;0.10;2.50;8.00;15.00;1;318988;;SI;NO;;acuarela, pastel, shade, x12;;;DERWENT
acuarela-profesional-kuretake-zig-x-14-p-waterbrush;Acuarela Profesional Kuretake Zig X 14 P + Waterbrush;Artística > Pintura > Acuarelas;;;;;;;13721,16;;0.10;2.50;9.00;16.50;1;318987;;SI;NO;;acuarela, x14, watercolor;;;KURETAKE
acuarela-profesional-daler-rowney-aquafine-lata-x-18-colores;Acuarela Profesional Daler Rowney Aquafine Lata X 18 Colores;Artística > Pintura > Acuarelas;;;;;;;7643,68;;0.20;2.50;15.00;14.50;0;318995;;SI;NO;;acuarela, profesional;;;Daler Rowney
marcador-acrilico-daler-rowney-set-x-5-colores-2-3-mm-copia;Marcador Acrilico Daler Rowney Set X 5 Colores 2-3 Mm (copia);Artística > Dibujo > Marcadores, Artística > Pintura > Acrílicos;;;;;;;3795,00;;0.10;2.00;15.00;9.00;5;015457;;SI;NO;;acrilico, marcador, set, x5;;;DALER ROWNEY
marcador-acrilico-daler-rowney-set-x-8-colores-2-3-mm;Marcador Acrilico Daler Rowney Set X 8 Colores 2-3 Mm;Artística > Dibujo > Marcadores, Artística > Pintura > Acrílicos;;;;;;;6210,00;;0.15;2.00;15.00;14.00;5;015458;;SI;NO;;marcador, acrilico, x8, set;;;DALER ROWNEY
acuarela-profesional-finetec-metalizada-en-lata-x-12;Acuarela Profesional FINETEC Metalizada en Lata x 12;Artística > Pintura > Acuarelas;;;;;;;23012,57;21916,73;0.16;1.50;9.50;23.00;2;318711;;SI;NO;;acuarela, profesional, x12, metalizada;;;Finetec
cuaderno-ejecutivo-16x21-tango;Cuaderno Ejecutivo 16x21 TANGO;Oficina > Regalos Empresariales, Facultad > Cuadernos Universitarios;;;;;;;2445,71;;0.20;2.50;16.50;21.00;5;042300;;SI;NO;;cosido, cuaderno, ejecutivo, rayado, tango;;;CITANOVA
cuaderno-ejecutivo-16x21-monaco;Cuaderno Ejecutivo 16x21 MONACO;Día del Padre, Oficina > Regalos Empresariales, Facultad > Cuadernos Universitarios;;;;;;;2445,71;;0.20;2.50;16.50;21.00;5;042299;;SI;NO;;cosido, cuaderno, ejecutivo, rayado, monaco;;;CITANOVA
cuaderno-ejecutivo-16x21-crocco;Cuaderno Ejecutivo 16x21 CROCCO;Día del Padre, Oficina > Regalos Empresariales, Facultad > Cuadernos Universitarios;;;;;;;2725,22;;0.20;2.50;16.50;21.00;5;042302;;SI;NO;;cuaderno, ejecutivo, crocco, rayado, cosido;;;CITANOVA
juego-multiverso-adivina-adivinador;Juego Multiverso ADIVINA ADIVINADOR;Juguetes y Libros;;;;;;;2350,00;;0.15;4.00;12.00;13.00;2;391283;;SI;NO;;cartas, juego;;;MULTIVERSO
juego-multiverso-piensa-palabra;Juego Multiverso PIENSA PALABRA;Juguetes y Libros;;;;;;;3050,00;;0.25;4.00;12.00;13.00;2;391290;;SI;NO;;cartas, juego;;;MULTIVERSO
juego-multiverso-focus;Juego Multiverso FOCUS;Juguetes y Libros;;;;;;;2350,00;;0.15;4.00;12.00;13.00;2;391289;;SI;NO;;juego, cartas;;;MULTIVERSO
rompecabezas-inkdrop-54pzsas-speed-faster;Rompecabezas INKDROP 54pzsas. Speed Faster;Juguetes y Libros;;;;;;;2750,00;;0.20;5.00;34.00;50.00;2;391271;;SI;NO;;puzzle, rompecabeza;;;INKDROP
rompecabezas-inkdrop-54pzsas-zombies;Rompecabezas INKDROP 54pzsas. Zombies;Juguetes y Libros;;;;;;;2750,00;;0.20;5.00;34.00;50.00;2;391172;;SI;NO;;puzzle, rompecabeza;;;INKDROP
rompecabezas-inkdrop-54pzsas-bomberos;Rompecabezas INKDROP 54pzsas. Bomberos;Juguetes y Libros;;;;;;;3125,00;;0.20;5.00;34.00;50.00;2;391278;;SI;NO;;puzzle, rompecabeza;;;INKDROP
rompecabezas-inkdrop-54pzsas-llama-y-cactus;Rompecabezas INKDROP 54pzsas. Llama y Cactus;Juguetes y Libros;;;;;;;2750,00;;0.20;5.00;34.00;50.00;2;391171;;SI;NO;;rompecabeza, puzzle;;;INKDROP
kit-adhesivo-elmers-rainbow-glitter-glue-x-31;Kit Adhesivo Elmers Rainbow Glitter Glue X 31;Escolar > Adhesivos;;;;;;;3829,06;;0.40;2.00;25.00;38.00;2;210360;;SI;NO;;adhesivo, plasticola, kit, 31 piezas;;;Elmers
lapiz-color-faber-castell-neon-x-10;Lapiz Color Faber Castell NEON x 10;Escolar > Lapices de Colores, Artística > Dibujo > Lápices de Dibujo;;;;;;;1436,06;;0.05;1.00;7.50;20.00;10;015447;;SI;NO;;lapiz, color, escolar, neon, fluo;;;Faber Castell
cuaderno-inteligente-deluxe-mapa-mundi-a4-y-a5-by-ci;Cuaderno Inteligente DELUXE MAPA MUNDI A4 y A5 by CI;Facultad > Cuadernos Universitarios;Medidas;A4;;;;;7437,50;;0.25;3.00;21.00;28.00;2;042284;;SI;NO;;cuaderno, inteligente, tapa dura, universitario;;;CI
cuaderno-inteligente-deluxe-mapa-mundi-a4-y-a5-by-ci;;;Medidas;A5;;;;;4875,00;;0.20;3.00;17.00;21.00;2;042261;;;;;;;;
cuaderno-inteligente-deluxe-candy-splash-a4-y-a5-by-ci;Cuaderno Inteligente DELUXE CANDY SPLASH A4 y A5 by CI;Facultad > Cuadernos Universitarios;Medidas;A4;;;;;7437,50;;0.25;3.00;21.00;28.00;2;042289;;SI;NO;;cuaderno, inteligente, tapa dura, universitario;;;CI
cuaderno-inteligente-deluxe-candy-splash-a4-y-a5-by-ci;;;Medidas;A5;;;;;4875,00;;0.20;3.00;17.00;21.00;2;042258;;;;;;;;
cuaderno-inteligente-butterfly-a4-y-a5-by-ci;Cuaderno Inteligente BUTTERFLY A4 y A5 by CI;Facultad > Cuadernos Universitarios;Medidas;A4;;;;;9250,00;;0.25;3.00;21.00;28.00;2;042297;;SI;NO;;cuaderno, inteligente, tapa dura, universitario;;;CI
cuaderno-inteligente-butterfly-a4-y-a5-by-ci;;;Medidas;A5;;;;;6000,00;;0.20;3.00;17.00;21.00;2;042267;;;;;;;;
