"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
agenda-2024-semanal-fera-tapa-dura-comienzo-a5;"Agenda 2024 Semanal FERA Tapa Dura Nuevo Capitulo A5";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322584;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-tapa-dura-pradera-a5;"Agenda 2024 Semanal FERA Tapa Dura Pradera A5";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322582;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-tapa-dura-lista-a5;"Agenda 2024 Semanal FERA Tapa Dura Lista A5";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322583;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-fera-semanal-literaria-librerias-a5;"Agenda 2024 FERA Semanal Literaria Librerias A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,290.00;;0.40;3.00;17.00;21.00;4;322576;;SI;NO;;"2024, agenda, Literaria";;;FERA;SI;;;;
resaltadores-sharpie-tank-pastel-x6;"Resaltadores SHARPIE Tank Pastel x6";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores, Oficina > Resaltadores, Mundo Pastel";;;;;;;3,750.00;;0.10;2.00;12.50;11.00;5;015745;;SI;NO;;"pastel, resaltador, resaltadores, x6";;;SHARPIE;SI;;;;
resaltadores-sharpie-tank-pastel-x41;"Resaltadores SHARPIE Tank Pastel x4";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores, Oficina > Resaltadores, Mundo Pastel";;;;;;;2,290.00;;0.05;2.00;9.50;19.50;5;015747;;SI;NO;;"pastel, resaltador, resaltadores, x4";;;SHARPIE;SI;;;;
resaltadores-sharpie-tank-pastel-x4;"Resaltadores SHARPIE Tank Pastel x4";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores, Oficina > Resaltadores, Mundo Pastel";;;;;;;2,290.00;;0.05;2.00;9.50;19.50;5;015749;;SI;NO;;"pastel, resaltador, resaltadores, x4";;;SHARPIE;SI;;;;
resaltador-sharpie-fino-x4;"Resaltador SHARPIE Fino x4";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores, Oficina > Resaltadores";;;;;;;1,950.00;;0.03;1.50;9.50;19.00;10;015746;;SI;NO;;"fino, resaltador, resaltadores, x4";;;SHARPIE;SI;;;;
set-resaltadores-sharpie-tank-x16;"Set Resaltadores SHARPIE Tank x16";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores, Oficina > Resaltadores";;;;;;;9,990.00;;0.20;2.00;14.00;26.00;5;015748;;SI;NO;;"resaltador, resaltadores, tank, x16";;;SHARPIE;SI;;;;
marcador-lavable-sharpie-acuacolor-x4-punta-biselada;"Marcador Lavable SHARPIE Acuacolor X4 Punta Biselada";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores > Al Agua, Oficina > Marcadores > Al Agua, Artística > Dibujo > Marcadores";;;;;;;2,850.00;;0.08;2.00;12.50;7.50;6;015750;;SI;NO;;"al agua, biselado, marcador, punta biselada, x4";;;SHARPIE;SI;;;;
marcador-lavable-sharpie-acuacolor-x12-punta-biselada;"Marcador Lavable SHARPIE Acuacolor X12 Punta Biselada";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores > Al Agua, Oficina > Marcadores > Al Agua, Artística > Dibujo > Marcadores";;;;;;;7,990.00;;0.20;2.00;12.50;21.00;6;015752;;SI;NO;;"al agua, biselado, marcador, punta biselada, x12";;;SHARPIE;SI;;;;
marcador-lavable-sharpie-acuacolor-x8-punta-biselada;"Marcador Lavable SHARPIE Acuacolor X8 Punta Biselada";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores > Al Agua, Oficina > Marcadores > Al Agua, Artística > Dibujo > Marcadores";;;;;;;5,290.00;;0.15;2.00;12.50;15.00;6;015751;;SI;NO;;"al agua, biselado, marcador, punta biselada, x8";;;SHARPIE;SI;;;;
agenda-2024-fera-semanal-literaria-biblioteca-a5;"Agenda 2024 FERA Semanal Literaria Biblioteca A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,290.00;;0.40;3.00;17.00;21.00;4;322575;;SI;NO;;"2024, agenda, Literaria";;;FERA;SI;;;;
agenda-2024-semanal-fera-tapa-dura-analogica-a5;"Agenda 2024 Semanal FERA Tapa Dura Analogica A5";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322580;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-tapa-dura-florero-a5;"Agenda 2024 Semanal FERA Tapa Dura Florero A5";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322581;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-tapa-dura-arena-a5;"Agenda 2024 Semanal FERA Tapa Dura Arena A5";"Dia De La Madre, Agendas > Semanales";;;;;;;7,590.00;;0.35;3.00;17.00;21.00;4;322585;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-fera-tapa-dura-black-a5;"Agenda 2024 Semanal FERA Tapa Dura Black A5";"Dia De La Madre, Agendas > Semanales";;;;;;;7,590.00;;0.35;3.00;17.00;21.00;4;322586;;SI;NO;;"2024, agenda, semanal";;;FERA;SI;;;;
agenda-2024-fera-astrologica-tigre-a5;"Agenda 2024 FERA Semanal Astrologica Tigre A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,850.00;;0.40;3.00;17.00;21.00;4;322592;;SI;NO;;"2024, agenda, astrologica";;;FERA;SI;;;;
agenda-2024-fera-astrologica-dragon-a5;"Agenda 2024 FERA Semanal Astrologica Dragon A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,850.00;;0.40;3.00;17.00;21.00;4;322590;;SI;NO;;"2024, agenda, astrologica";;;FERA;SI;;;;
agenda-2024-fera-astrologica-colibri-a5;"Agenda 2024 FERA Semanal Astrologica Colibri A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,850.00;;0.40;3.00;17.00;21.00;2;322589;;SI;NO;;"2024, agenda, astrologica";;;FERA;SI;;;;
agenda-2024-fera-astrologica-a5;"Agenda 2024 FERA Semanal Astrologica Serpiente A5";"Dia De La Madre, Agendas > Semanales";;;;;;;10,850.00;;0.40;3.00;17.00;21.00;4;322591;;SI;NO;;"2024, agenda, astrologica";;;FERA;SI;;;;
boligrafo-mooving-disney-100;"Boligrafo MOOVING Disney 100";"Escolar > Bolígrafos y Rollerballs, Facultad > Bolígrafos, Oficina > Bolígrafos";;;;;;;8,175.00;;0.05;2.50;3.00;17.50;3;015721;;SI;NO;;"boligrafo, disney 100";;;MOOVING;SI;;;;
boligrafo-mooving-harry-potter;"Boligrafo MOOVING Harry Potter";"Escolar > Bolígrafos y Rollerballs, Facultad > Bolígrafos, Oficina > Bolígrafos";;;;;;;8,175.00;;0.05;2.50;3.00;17.50;3;015722;;SI;NO;;"boligrafo, harry potter";;;MOOVING;SI;;;;
cuaderno-a4-punto-cero-100-hojas-tapa-dura;"Cuaderno A4 PUNTO CERO 100 Hojas Tapa Dura";"Facultad > Cuadernos Universitarios";;;;;;;4,864.20;;0.20;2.00;25.00;30.00;5;041424;;SI;NO;;"100h, a4, cuaderno, tapa dura";;;"PUNTO CERO";SI;;;;
cuaderno-a4-punto-cero-80-hojas-removibles;"Cuaderno A4 PUNTO CERO 80 Hojas Removibles";"Facultad > Cuadernos Universitarios";;;;;;;8,349.00;;0.40;3.00;25.00;30.00;4;042189;;SI;NO;;"80hojas, a4, cuaderno, tapa dura";;;"PUNTO CERO";SI;;;;
pack-zebra-cartuchera-5-articulos;"Pack ZEBRA Cartuchera + 5 Articulos";"Escolar > Bolígrafos y Rollerballs, Escolar > Cartucheras, Escolar > Portaminas y Minas, Facultad > Bolígrafos, Oficina > Bolígrafos";Color;Rosa;;;;;28,650.05;;0.15;1.00;12.00;19.00;2;015306;;SI;NO;;"boligrafo, pack, portamina, x5, x6";;;ZEBRA;SI;;;;
pack-zebra-cartuchera-5-articulos;;;Color;Violeta;;;;;28,650.05;;0.15;1.00;12.00;19.00;1;015307;;;;;;;;;;;;;
agenda-semanal-2024-punto-cero-sweet;"Agenda Semanal 2024 PUNTO CERO Sweet";"Agendas > Semanales";;;;;;;14,520.00;;0.15;1.50;16.50;22.00;4;322568;;SI;NO;;"2024, agenda, semanal";;;"PUNTO CERO";SI;;;;
set-marcadores-pelikan-permanentes-240-x-36-ed-especial;"Set Marcadores PELIKAN Permanentes 240 x 36 Ed. Especial";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores > Indelebles, Oficina > Marcadores > Indelebles, Artística > Dibujo > Marcadores";;;;;;;20,405.00;;0.35;4.00;32.00;42.00;3;015741;;SI;NO;;"indeleble, kit, marcador, permanente, set, x36";;;PELIKAN;SI;;;;
kit-pelikan-creativo-edicion-metalica-x-25;"Kit PELIKAN Creativo Edición Metálica x 25";"Escolar > Crayones, Escolar > Lapices de Colores, Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores, Oficina > Marcadores, Artística > Dibujo > Lápices de Dibujo, Artística > Dibujo > Marcadores";;;;;;;32,615.00;;0.35;3.00;27.00;41.00;2;015742;;SI;NO;;"creativo, kit, lapiz color, marcador, markatodo, metalizado, x25";;;PELIKAN;SI;;;;
kit-pelikan-bullet-journal-27-piezas-basicos-pastel-glitter;"Kit PELIKAN Bullet Journal 27 Piezas Básicos/Pastel/Glitter";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores, Facultad > Resaltadores, Oficina > Marcadores, Oficina > Resaltadores, Artística > Dibujo > Marcadores";;;;;;;14,630.00;;0.25;2.50;30.00;26.00;3;015740;;SI;NO;;"bullet journal, kit, marcador, microfibra, plumon, resaltador, x27";;;PELIKAN;SI;;;;
rompecabezas-puzzle-animales-bebes-inkdrop-25-piezas;"Rompecabezas / Puzzle Animales Bebés INKDROP 25 piezas";"Juguetes y Libros";;;;;;;3,091.20;;0.35;6.00;32.00;33.00;0;391267;;SI;NO;;"25 piezas, animales bebes, puzzle, rompecabeza";;;INKDROP;SI;;;;
set-mooving-lettering-fest-x23;"Set MOOVING Lettering Fest X23";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores, Oficina > Marcadores, Artística > Dibujo > Marcadores";;;;;;;21,582.00;;0.55;3.00;37.00;38.00;3;015639;;SI;NO;;"block, doble punta, lettering, marcadores, punta pincel, set";;;MOOVING;SI;;;;
marcador-lyra-aqua-brush-duo-x-24-box;"Marcador LYRA Aqua Brush Duo x 24 box";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores > Al Agua, Oficina > Marcadores > Al Agua, Artística > Dibujo > Marcadores";;;;;;;16,060.00;;0.30;2.00;17.00;19.00;5;015705;;SI;NO;;"aqua, doble punta, duo, marcador, x24";;;LYRA;SI;;;;
set-acuarelas-daler-rowney-simply-12ml-x12-colores;"Set Acuarelas DALER ROWNEY Simply 12ml X12 Colores";"Artística > Pintura > Acuarelas";;;;;;;7,100.00;;0.24;1.50;10.50;25.00;5;319262;;SI;NO;;"acuarela, acuarelas, set, simply, watercolour, x12";;;"DALER ROWNEY";SI;;;;
set-oleos-daler-rowney-simply-12ml-x12-colores;"Set Oleos DALER ROWNEY Simply 12ml X12 Colores";"Artística > Pintura > Óleos";;;;;;;7,100.00;;0.24;1.50;10.50;25.00;5;319263;;SI;NO;;"oleo, oleos, set, simply, x12";;;"DALER ROWNEY";SI;;;;
set-acrilico-daler-rowney-simply-12ml-x12-colores;"Set Acrilico DALER ROWNEY Simply 12ml X12 Colores";"Artística > Pintura > Acrílicos";;;;;;;7,100.00;;0.24;1.50;10.50;25.00;5;319260;;SI;NO;;"acrilicos, set, simply, x12";;;"DALER ROWNEY";SI;;;;
set-acrilico-daler-rowney-simply-12ml-x24-colores;"Set Acrilico DALER ROWNEY Simply 12ml X24 Colores";"Artística > Pintura > Acrílicos";;;;;;;13,400.00;;0.50;1.50;20.00;25.00;4;319261;;SI;NO;;"acrilicos, set, simply, x24";;;"DALER ROWNEY";SI;;;;
cuaderno-artistico-a4-multitechnique-canson-160g-x-120h;"Cuaderno Artistico A4 Multitechnique CANSON 160g x 120h";"Artística > Dibujo > Cuadernos";;;;;;;15,785.00;;0.75;2.50;29.70;21.00;3;250049;;SI;NO;;"120 hojas, 160 gramos, a4, artistico, cuaderno, especial, mixed media, multitecnica";;;CANSON;SI;;;;
set-oleo-principiantes-daler-rowney-x-16-piezas;"Set Oleo Principiantes DALER ROWNEY x 16 piezas";"Artística > Pintura > Óleos, Artística > Pintura > Pinceles, Artística > Soportes > Bastidores";;;;;;;17,450.00;;0.35;3.50;40.00;30.00;2;319264;;SI;NO;;"bastidor, oleo, pincel, set, x16";;;"DALER ROWNEY";SI;;;;
block-a5-mooving-disney-100;"Block A5 MOOVING Disney 100";"Escolar > Blocks de hojas y repuestos, Oficina > Blocks ";;;;;;;5,992.50;;0.15;1.50;12.50;17.50;2;120484;;SI;NO;;"block, disney, hojas, lisas, rayadas";;;MOOVING;SI;;;;
